所有频道,#genre#
山东教育,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000331/index.m3u8
山东农科,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000339/index.m3u8
北京卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000302/index.m3u8
天津卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000327/index.m3u8
河北卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000330/index.m3u8
江苏卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000304/index.m3u8
安徽卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000328/index.m3u8
东方卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000309/index.m3u8
浙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000305/index.m3u8
广东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000308/index.m3u8
东南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000310/index.m3u8
湖北卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000325/index.m3u8
湖南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000324/index.m3u8
辽宁卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000326/index.m3u8
黑龙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000306/index.m3u8
贵州卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000329/index.m3u8                                                                            金鹰纪实,,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000334/index.m3u8
旅游卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000030/index.m3u8
云南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000039/index.m3u8
重庆卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000023/index.m3u8
吉林卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000036/index.m3u8
江西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000035/index.m3u8
山西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000032/index.m3u8
陕西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000029/index.m3u8
四川卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000033/index.m3u8
广西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000038/index.m3u8
甘肃卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000046/index.m3u8
宁夏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000043/index.m3u8
青海卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000044/index.m3u8
内蒙古,http://39.137.76.32:8089/00/SNM/CHANNEL00000040/index.m3u8
CETV-1,http://223.110.241.203:6610/gitv/live1/G_CETV-1/G_CETV-1/
CETV-2,http://223.110.241.203:6610/gitv/live1/G_CETV-2/G_CETV-2/
CETV-3,http://223.110.241.203:6610/gitv/live1/G_CETV-3/G_CETV-3/
CETV-4,http://223.110.241.203:6610/gitv/live1/G_CETV-4/G_CETV-4/
CCTV-1,http://39.137.76.32:8089/00/SNM/CHANNEL00000001/index.m3u8
CCTV-2,http://39.137.76.32:8089/00/SNM/CHANNEL00000002/index.m3u8
CCTV-3,http://39.137.76.32:8089/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4,http://39.137.76.32:8089/00/SNM/CHANNEL00000004/index.m3u8
CCTV-5,http://39.137.76.32:8089/00/SNM/CHANNEL30000005/index.m3u8
CCTV-6,http://39.137.76.32:8089/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7,http://39.137.76.32:8089/00/SNM/CHANNEL00000007/index.m3u8
CCTV-8,http://39.137.76.32:8089/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9,http://223.110.241.203:6610/gitv/live1/G_CCTV-9/G_CCTV-9/
CCTV-10,http://223.110.241.203:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/
CCTV-11,http://223.110.241.203:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/
CCTV-12,http://223.110.241.203:6610/gitv/live1/CCTV-12/CCTV-12/
CCTV-13,http://223.110.241.203:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/
CCTV-15,http://223.110.241.203:6610/gitv/live1/G_CCTV-15/G_CCTV-15/
天津卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000021/index.m3u8
河北卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000034/index.m3u8
湖北卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000031/index.m3u8
贵州卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000041/index.m3u8
深圳卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000308/index.m3u8
山东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000051/index.m3u8
湖南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000017/index.m3u8
浙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000016/index.m3u8
江苏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000018/index.m3u8
安徽卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000020/index.m3u8
北京卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000019/index.m3u8
东方卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000022/index.m3u8
深圳卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000024/index.m3u8
辽宁卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000026/index.m3u8
黑龙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000027/index.m3u8
广东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000025/index.m3u8
东南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000028/index.m3u8
CCTV-NEWS,http://39.137.76.32:8089/00/SNM/CHANNEL00000009/index.m3u8
山东教育,http://39.137.76.32:8089/00/SNM/CHANNEL10000062/index.m3u8
山东齐鲁,http://39.137.76.32:8089/00/SNM/CHANNEL00000052/index.m3u8
百姓健康,http://39.137.76.32:8089/00/SNM/CHANNEL00000602/index.m3u8
央视健康,http://39.137.76.32:8089/00/SNM/CHANNEL00000603/index.m3u8
美食天府,http://39.137.76.32:8089/00/SNM/CHANNEL00000604/index.m3u8
休闲指南,http://39.137.76.32:8089/00/SNM/CHANNEL00000608/index.m3u8
中国天气,http://39.137.76.32:8089/00/SNM/CHANNEL00000609/index.m3u8
家政,http://39.137.76.32:8089/00/SNM/CHANNEL00000610/index.m3u8
电子体育,http://39.137.76.32:8089/00/SNM/CHANNEL00000611/index.m3u8
人物频道,http://39.137.76.32:8089/00/SNM/CHANNEL00000612/index.m3u8
风云音乐,http://39.137.76.32:8089/00/SNM/CHANNEL00000613/index.m3u8
第一剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000614/index.m3u8
世界地理,http://39.137.76.32:8089/00/SNM/CHANNEL00000615/index.m3u8
女性时尚,http://39.137.76.32:8089/00/SNM/CHANNEL00000616/index.m3u8
风云剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000617/index.m3u8
央视文化,http://39.137.76.32:8089/00/SNM/CHANNEL00000621/index.m3u8
怀旧剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000622/index.m3u8
老故事,http://39.137.76.32:8089/00/SNM/CHANNEL00000624/index.m3u8
新科动漫,http://39.137.76.32:8089/00/SNM/CHANNEL00000625/index.m3u8
早期教育,http://39.137.76.32:8089/00/SNM/CHANNEL00000627/index.m3u8
环球奇观,http://39.137.76.32:8089/00/SNM/CHANNEL00000628/index.m3u8
现代女性,http://39.137.76.32:8089/00/SNM/CHANNEL00000629/index.m3u8
武术世界,http://39.137.76.32:8089/00/SNM/CHANNEL00000634/index.m3u8
文物宝库,http://39.137.76.32:8089/00/SNM/CHANNEL00000635/index.m3u8
国学频道,http://39.137.76.32:8089/00/SNM/CHANNEL00000636/index.m3u8
卫生健康,http://39.137.76.32:8089/00/SNM/CHANNEL00000639/index.m3u8
靓装,http://39.137.76.32:8089/00/SNM/CHANNEL00000406/index.m3u8
CCTV-少儿,http://223.110.241.203:6610/gitv/live1/G_CCTV-14/G_CCTV-14/
金鹰卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000047/index.m3u8
卡酷动画,http://39.137.76.32:8089/00/SNM/CHANNEL00000048/index.m3u8
优漫卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000049/index.m3u8
炫动卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000050/index.m3u8
海看电竞,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000408/index.m3u8
海看少儿,http://39.137.76.32:8089/00/SNM/CHANNEL00000402/index.m3u8
海看生活,http://39.137.76.32:8089/00/SNM/CHANNEL00000202/index.m3u8
海看教育,http://39.137.76.32:8089/00/SNM/CHANNEL00000204/index.m3u8
海看演艺,http://39.137.76.32:8089/00/SNM/CHANNEL00000400/index.m3u8
海看健康,http://39.137.76.32:8089/00/SNM/CHANNEL00000401/index.m3u8
海看剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000403/index.m3u8
海看热播,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000405/index.m3u8
海看大片,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000407/index.m3u8
海看4K,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000499/index.m3u8


山东电信
CCTV-1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8 
CCTV-2,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3,http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-5,http://150.138.8.143/00/SNM/CHANNEL30000005/index.m3u8
CCTV-5+,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6,http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8,http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11,http://150.138.8.143/00/SNM/CHANNEL00000011/index.m3u8
CCTV-12,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13,http://150.138.8.143/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15,http://150.138.8.143/00/SNM/CHANNEL00000015/index.m3u8
山东卫视,http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8  
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8   
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8 
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8 
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8 
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000021/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000026/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000023/index.m3u8 
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000038/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000039/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000034/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000037/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000031/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000036/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000033/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000041/index.m3u8 
旅游卫视,http://150.138.8.143/00/SNM/CHANNEL00000030/index.m3u8 
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000035/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000046/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
哈哈炫动,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
卡酷动画,http://150.138.8.143/00/SNM/CHANNEL00000048/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00000047/index.m3u8
山东影视,http://150.138.8.143/00/SNM/CHANNEL00000056/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000055/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000054/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东公共,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL00000313/index.m3u8 
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000058/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000059/index.m3u8
山东国际,http://150.138.8.143/00/SNM/CHANNEL00000060/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL10000062/index.m3u8
海看生活,http://150.138.8.143/00/SNM/CHANNEL00000202/index.m3u8
海看教育,http://150.138.8.143/00/SNM/CHANNEL00000204/index.m3u8
海看演艺,http://150.138.8.143/00/SNM/CHANNEL00000400/index.m3u8
海看健康,http://150.138.8.143/00/SNM/CHANNEL00000401/index.m3u8
海看少儿,http://150.138.8.143/00/SNM/CHANNEL00000402/index.m3u8
海看剧场,http://150.138.8.143/00/SNM/CHANNEL00000403/index.m3u8 
海看大片,http://150.138.8.143/00/SNM/CHANNEL00000407/index.m3u8 
海看热播,http://150.138.8.143/00/SNM/CHANNEL00000405/index.m3u8 
海看电竞,http://150.138.8.143/00/SNM/CHANNEL00000408/index.m3u8
喜剧影院,http://150.138.8.143/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://150.138.8.143/00/SNM/CHANNEL00000603/index.m3u8
经典电影,http://150.138.8.143/00/SNM/CHANNEL00000604/index.m3u8
少儿动画,http://150.138.8.143/00/SNM/CHANNEL00000605/index.m3u8
相声小品,http://150.138.8.143/00/SNM/CHANNEL00000606/index.m3u8 
热播剧场,http://150.138.8.143/00/SNM/CHANNEL00000608/index.m3u8
魅力时尚,http://150.138.8.143/00/SNM/CHANNEL00000609/index.m3u8
墨宝,http://150.138.8.143/00/SNM/CHANNEL00000610/index.m3u8
光影,http://150.138.8.143/00/SNM/CHANNEL00000611/index.m3u8
美人,http://150.138.8.143/00/SNM/CHANNEL00000612/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000640/index.m3u8
优优宝贝,http://150.138.8.143/00/SNM/CHANNEL00000641/index.m3u8
教育就业,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
环球旅游,http://150.138.8.143/00/SNM/CHANNEL00000643/index.m3u8
新娱乐,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8
车迷频道,http://150.138.8.143/00/SNM/CHANNEL00000645/index.m3u8 
足球,http://150.138.8.143/00/SNM/CHANNEL00000704/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南新闻,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南影视,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南商务,http://150.138.8.143/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8 
莱芜综合,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
莱芜科教,http://150.138.8.143/00/SNM/CHANNEL00000245/index.m3u8
QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
QTV-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
QTV-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
QTV-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
QTV-6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
潍坊新闻,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊都市,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8 
德州新闻,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州公共,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
滨州新闻,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营新闻,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽财经法制,http://150.138.8.143/00/SNM/CHANNEL00000233/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
日照综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
日照公共,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
烟台新闻,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://150.138.8.143/00/SNM/CHANNEL00000295/index.m3u8
潍坊新闻,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊都市,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8


山东有线
海看演艺,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226312/10000100000000060000000000446689_0.smil
海看健康,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226309/10000100000000060000000000446690_0.smil
海看少儿,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226306/10000100000000060000000000446691_0.smil
海看剧场,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226303/10000100000000060000000000446692_0.smil
海看大片,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226296/10000100000000060000000000446693_0.smil
海看爱宠,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226293/10000100000000060000000000446694_0.smil
海看教育,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226300/10000100000000060000000000446695_0.smil
海看热播,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226297/10000100000000060000000000446696_0.smil
CCTV-1,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225871/10000100000000060000000000219040_0.smil
CCTV-2,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226043/10000100000000060000000000286778_0.smil
CCTV-3,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225790/10000100000000060000000000215615_0.smil
CCTV-4,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226524/10000100000000060000000001329929_0.smil
CCTV-5,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225791/10000100000000060000000000215620_0.smil
CCTV-5+,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225876/10000100000000060000000000215725_0.smil
CCTV-6,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225786/10000100000000060000000000215621_0.smil
CCTV-7,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226044/10000100000000060000000000291607_0.smil
CCTV-8,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225793/10000100000000060000000000215626_0.smil
CCTV-9,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225867/10000100000000060000000000219049_0.smil
CCTV-10,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226045/10000100000000060000000000291610_0.smil
CCTV-11,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225801/10000100000000060000000000215662_0.smil
CCTV-12,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226046/10000100000000060000000000291609_0.smil
CCTV-13,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225803/10000100000000060000000000215665_0.smil
CCTV-14,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226047/10000100000000060000000000291608_0.smil
CCTV-15,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225805/10000100000000060000000000215669_0.smil
CGTN,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225806/10000100000000060000000000215673_0.smil
山东卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225869/10000100000000060000000000219044_0.smil
山东齐鲁,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226516/10000100000000060000000001311826_0.smil
山东生活,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226689/10000100000000060000000001967168_0.smil
山东体育,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225811/10000100000000060000000000215681_0.smil
山东公共,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225812/10000100000000060000000000215683_0.smil
山东农科,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225813/10000100000000060000000000215686_0.smil
山东教育卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225941/10000100000000060000000000218833_0.smil
山东影视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225808/10000100000000060000000000215675_0.smil
山东综艺,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225810/10000100000000060000000000215680_0.smil
山东少儿,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225814/10000100000000060000000000215687_0.smil
山东国际,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226302/10000100000000060000000000484233_0.smil
湖南卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225870/10000100000000060000000000219041_0.smil
浙江卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225866/10000100000000060000000000219050_0.smil
东方卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225875/10000100000000060000000000215734_0.smil
江苏卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225872/10000100000000060000000000215718_0.smil
北京卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225868/10000100000000060000000000219046_0.smil
安徽卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225878/10000100000000060000000000215738_0.smil
天津卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225880/10000100000000060000000000215743_0.smil
辽宁卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225882/10000100000000060000000000215746_0.smil
深圳卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225873/10000100000000060000000000215719_0.smil
东南卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226527/10000100000000060000000001169429_0.smil
湖北卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225879/10000100000000060000000000215740_0.smil
广东卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225881/10000100000000060000000000215744_0.smil
黑龙江卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221225874/10000100000000060000000000215723_0.smil
贵州卫视,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226547/10000100000000060000000001329927_0.smil
